Customer ID,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Monthly Charge,Total Revenue,Zip Code,Satisfaction Score,Gender,Age,Number of Dependents
1746-TGTWV,0.0,1.0,0,0,0.0,0,1,8.0,0,0,0,0,0,0,39.65,59.65,90022.0,3.0,1.0,78.0,0.0
8499-BRXTD,1.0,8.0,5,1,48.85,1,1,17.0,0,1,0,0,1,0,80.65,1024.1,92122.0,3.0,0.0,74.0,1.0
5832-EXGTT,1.0,25.0,3,1,19.76,0,1,12.0,0,1,1,0,1,0,98.5,2995.07,90303.0,2.0,0.0,78.0,1.0
8350-NYMVI,1.0,37.0,3,1,6.33,0,1,20.32486556647506,0,0,0,0,1,0,76.5,3102.36,90602.0,2.0,0.5063971815316151,80.0,1.0
7284-BUYEC,0.0,27.0,3,1,3.33,1,1,18.0,0,0,0,0,0,0,78.05,2235.41,92122.0,1.0,0.0,72.0,0.47951047654366774
3458-IDMFK,1.0,1.0,5,1,14.153317499991953,0,1,30.0,0,0,0,0,1,0,70.45,85.73,90720.0,2.0,0.0,76.0,0.47951047654366774
3709-OIJEA,6.0,58.0,2,0,0.0,0,1,24.0,0,1,1,0,1,0,45.3,2610.25,92122.0,3.0,1.0,66.0,0.0
3006-XIMLN,0.0,7.0,5,1,26.95,0,1,18.0,1,0,0,0,0,0,48.04948452542581,681.2,91107.0,2.0,0.5063971815316151,46.747821249768215,0.47951047654366774
3196-NVXLZ,0.0,21.04257961589237,4,1,29.11,0,1,29.0,0,1,0,0,1,0,53.40337609798251,1510.9499999999996,92122.0,1.0,1.0,65.0,0.0
5939-SXWHM,1.0,1.0,5,1,0.0,0,1,12.0,0,1,0,0,1,0,40.2,40.2,92122.0,3.0,1.0,77.0,0.0
4450-MDZFX,0.0,3.0,5,0,0.0,0,1,28.0,0,0,1,0,1,0,41.15,132.2,92122.0,2.0,0.5063971815316151,46.747821249768215,0.47951047654366774
1730-VFMWO,0.0,13.0,4,1,32.68,1,1,11.0,0,1,1,0,0,0,56.123944796145196,1799.14,91748.0,1.0,1.0,68.0,0.0
7037-MTYVW,0.0,16.0,4,1,15.77543086441344,0,1,9.0,0,0,0,1,1,0,94.45,1662.08,92122.0,3.0,0.0,68.0,0.0
6463-HHXJR,0.0,8.0,5,1,1.78,0,1,7.0,0,1,0,0,1,0,74.5,523.8402282828799,91901.0,2.0,1.0,66.0,0.0
